"Season","Team","G","AB","PA","AVG","ISO","WAR","Spd","Def"
"1941","Dodgers","1816","5485","6218",".272",".133","35.1","4.5","93.0"
"1949","Tigers","1811","5253","6130",".267",".111","20.2","3.8","47.6"
"1929","Indians","1695","5191","5873",".293",".122","14.6","5.0","21.6"
"1933","Senators","1780","5520","6208",".287",".115","29.1","5.3","61.6"
"2007","Red Sox","2278","5589","6426",".279",".165","29.7","4.7","11.8"
"2002","Yankees","2135","5601","6377",".275",".180","28.5","4.2","-55.4"
"2000","Mariners","1985","5497","6444",".269",".172","28.8","4.7","12.0"
"2011","Red Sox","2269","5710","6414",".280",".181","36.2","4.6","21.1"
"1953","Cardinals","1972","5384","6051",".273",".151","22.9","3.7","42.6"
"1996","White Sox","1786","5644","6497",".281",".166","24.5","4.6","-40.5"
"2008","Red Sox","2293","5596","6402",".280",".168","33.4","4.8","43.3"
"1999","Athletics","1928","5519","6442",".259",".187","19.7","3.9","-67.3"
"1998","Rockies","2326","5632","6277",".291",".169","13.7","4.3","52.2"
"1951","Yankees","1886","5194","5924",".269",".139","31.1","4.9","51.5"
"2003","Yankees","2180","5605","6431",".271",".182","26.5","4.1","-72.0"
"1951","Red Sox","1826","5378","6211",".266",".126","20.6","3.2","34.4"
"1995","Angels","1551","5019","5690",".277",".171","22.7","4.1","2.4"
"2009","Red Sox","2317","5543","6344",".270",".184","24.5","5.0","-13.2"
"2007","Phillies","2446","5688","6537",".274",".184","34.9","5.5","78.5"
"1922","Reds","1651","5282","5943",".296",".106","25.6","5.8","75.0"
"1922","Cubs","1746","5332","6089",".293",".097","18.3","4.9","34.6"
"1994","Tigers","1205","3955","4574",".265",".189","13.1","4.3","-51.8"
"1926","Reds","1761","5319","6046",".290",".110","30.5","5.6","82.3"
"1997","Yankees","1773","5711","6527",".286",".150","22.8","4.1","-83.6"
"1938","Browns","1722","5333","6048",".281",".116","6.2","3.8","-21.0"
"1923","Pirates","1621","5405","5943",".295",".110","24.3","6.4","54.8"
"1999","Mets","2320","5569","6451",".279",".156","29.8","4.3","57.0"
"1935","Cubs","1653","5483","6130",".288",".126","34.3","4.9","89.1"
"1956","Red Sox","1900","5342","6207",".275",".144","28.3","3.6","72.1"
"2004","Yankees","2281","5527","6364",".268",".189","21.7","4.3","-88.1"
"1925","Robins","1719","5466","6043",".296",".110","15.1","4.8","-9.5"
"1919","White Sox","1450","4675","5360",".287",".093","27.9","6.0","27.2"
"1947","Cardinals","1981","5422","6131",".270",".131","21.7","4.3","34.1"
"1952","Dodgers","1869","5266","6068",".262",".137","31.0","4.3","50.3"
"1979","Brewers","1579","5536","6227",".280",".168","30.5","4.7","-15.4"
"2000","Yankees","2061","5556","6311",".277",".173","20.6","4.3","-39.5"
"2005","Yankees","2319","5624","6406",".276",".174","17.4","4.0","-160.9"
"1999","Orioles","1958","5637","6409",".279",".169","28.9","4.3","21.7"
"1940","Yankees","1631","5286","6045",".259",".159","28.8","4.9","78.5"
"1993","Yankees","1724","5615","6359",".279",".156","32.7","3.2","22.8"
