"Season","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"1921","Cardinals","1803","5912","83","808","733","94","6.5 %","7.6 %",".129",".325",".308",".358",".437",".365","111","-4.9","77.2","30.9","30.5"
"1942","Cardinals","1786","6115","60","754","678","71","9.0 %","8.2 %",".110",".287",".268",".338",".379",".342","107","11.3","56.9","53.3","30.5"
"1979","Brewers","1579","6227","185","807","766","100","8.8 %","12.0 %",".168",".294",".280",".345",".448",".350","114","0.5","107.2","-15.4","30.5"
"1992","Athletics","1801","6275","142","745","693","143","11.3 %","13.2 %",".129",".279",".258",".346",".386",".334","113","4.3","97.2","-11.9","30.5"
"1961","Braves","1810","5942","188","710","662","70","9.0 %","14.8 %",".158",".277",".258",".328",".416",".329","101","-1.7","7.6","95.1","30.5"
"1987","Tigers","1913","6444","225","896","840","106","10.1 %","14.2 %",".179",".287",".272",".349",".451",".348","113","-2.8","101.5","-13.2","30.4"
"1968","Pirates","2030","6162","80","583","538","130","6.8 %","15.5 %",".091",".289",".252",".306",".343",".293","95","6.8","-21.7","84.2","30.4"
"2002","Cardinals","2366","6246","175","787","758","86","8.7 %","14.8 %",".157",".292",".268",".338",".425",".331","101","11.7","18.1","82.2","30.4"
"1935","Yankees","1610","5917","104","818","755","68","10.2 %","7.9 %",".136",".293",".280",".358",".416",".358","105","-8.7","32.2","79.9","30.3"
"1957","White Sox","1880","6041","106","706","663","109","10.3 %","12.2 %",".116",".284",".261",".344",".376",".326","101","6.4","12.2","95.2","30.3"
"1968","Orioles","2012","6022","133","579","534","78","9.5 %","16.9 %",".127",".253",".225",".304",".352",".300","100","5.2","5.9","105.9","30.3"
"1949","Yankees","1889","6040","115","829","760","58","12.1 %","8.9 %",".131",".282",".269",".362",".399",".360","104","-2.4","32.7","65.4","30.3"
"1956","Braves","1946","5897","177","709","667","29","8.2 %","12.1 %",".163",".269",".259",".323",".423",".328","106","0.9","40.5","90.2","30.3"
"1996","Indians","1705","6486","218","952","904","160","10.3 %","13.0 %",".182",".309",".293",".369",".475",".367","111","7.8","110.5","-35.0","30.2"
"1930","Cubs","1769","6354","171","998","941","70","9.3 %","10.0 %",".172",".325",".309",".378",".481",".383","107","13.5","78.3","37.3","30.2"
"1995","Red Sox","1522","5716","175","791","754","99","9.8 %","16.1 %",".175",".310",".280",".357",".455",".356","107","-0.8","53.2","59.8","30.2"
"1980","Royals","1777","6357","115","806","766","185","8.0 %","11.2 %",".128",".306",".286",".345",".413",".339","107","19.0","70.4","6.7","30.1"
"1972","Athletics","2102","5835","134","604","565","87","7.9 %","15.1 %",".126",".265",".240",".306",".367",".307","105","1.6","30.5","76.7","30.1"
"1962","Dodgers","2147","6362","140","842","781","198","9.0 %","13.9 %",".132",".295",".268",".337",".400",".328","104","22.9","54.0","23.3","30.1"
"1982","Royals","1715","6178","132","784","746","133","7.2 %","12.3 %",".143",".307",".285",".337",".428",".339","109","7.8","74.0","20.0","30.1"
"1975","Pirates","2051","6112","138","712","669","50","7.7 %","13.6 %",".139",".286",".263",".323",".402",".329","102","0.2","16.2","72.6","30.1"
"1969","Pirates","2060","6235","119","725","651","74","7.3 %","15.1 %",".121",".313",".277",".334",".398",".329","104","4.2","35.6","30.5","30.1"
"1947","Dodgers","1908","6125","83","774","719","88","12.0 %","9.2 %",".112",".292",".272",".364",".384",".355","100","16.3","15.2","73.2","30.0"
"1960","Pirates","1901","6015","120","733","688","34","8.1 %","12.4 %",".131",".300",".277",".336",".408",".330","104","-0.6","24.0","69.2","30.0"
"2014","Angels","2468","6284","155","773","729","81","7.8 %","20.1 %",".147",".305",".259",".322",".406",".321","110","1.7","67.7","3.6","30.0"
"1966","Braves","2121","6286","207","782","734","59","8.1 %","14.5 %",".161",".279",".263",".326",".424",".329","106","-2.9","38.8","21.9","30.0"
"1953","Indians","1872","5996","160","766","727","33","10.1 %","11.3 %",".140",".285",".270",".349",".410",".348","108","0.1","61.0","35.8","29.9"
"1988","Mets","1963","6105","152","703","659","140","8.9 %","13.8 %",".140",".276",".256",".325",".396",".321","111","4.0","78.2","7.6","29.9"
"1939","Reds","1721","6091","98","767","712","46","8.2 %","8.8 %",".127",".295",".278",".343",".405",".346","103","6.7","28.2","87.6","29.8"
"1935","Giants","1716","6162","123","770","703","32","6.4 %","7.8 %",".130",".296",".286",".336",".416",".344","104","4.4","32.7","62.6","29.8"
"1973","Braves","2055","6384","206","799","758","84","9.5 %","13.6 %",".161",".281",".266",".339",".427",".343","106","4.0","50.5","31.0","29.8"
"1999","Mets","2320","6451","181","853","814","150","11.1 %","15.4 %",".156",".308",".279",".363",".435",".350","105","2.5","46.9","57.0","29.8"
"1950","Indians","1831","6080","164","806","758","40","11.4 %","10.2 %",".153",".280",".269",".358",".422",".360","104","-8.8","24.7","64.2","29.8"
"1989","Cardinals","2234","6141","73","632","587","155","8.3 %","13.8 %",".105",".292",".258",".321",".363",".309","96","7.6","-22.9","115.5","29.7"
"2007","Red Sox","2278","6426","166","867","829","96","10.7 %","16.2 %",".165",".315",".279",".362",".444",".352","109","-5.0","70.7","11.8","29.7"
"1977","Royals","1836","6268","146","822","773","170","8.3 %","11.0 %",".159",".291",".277",".340",".436",".341","109","2.4","69.1","10.7","29.7"
"1928","Athletics","1701","6003","89","828","760","61","8.8 %","7.2 %",".142",".308",".294",".363",".436",".368","107","-13.9","41.9","42.9","29.7"
"1945","Cubs","1792","6028","57","735","672","69","9.2 %","7.6 %",".095",".295",".277",".349",".372",".346","102","10.3","25.1","63.6","29.6"
"1991","Tigers","1792","6359","209","817","778","109","11.0 %","18.6 %",".169",".277",".247",".333",".416",".336","106","3.0","50.3","31.9","29.6"
"2005","Braves","2347","6186","184","769","733","92","8.6 %","17.5 %",".170",".298",".265",".333",".435",".331","100","-1.7","-3.1","96.7","29.6"
"1963","Giants","2043","6176","197","725","680","55","7.1 %","14.4 %",".155",".275",".258",".316",".414",".323","109","-5.4","55.9","0.0","29.6"
"1944","Yankees","1620","5969","96","673","630","90","8.7 %","10.5 %",".122",".285",".265",".333",".387",".341","104","2.7","29.6","54.7","29.6"
"1969","Athletics","2125","6394","148","738","680","100","9.6 %","14.9 %",".127",".276",".250",".329",".376",".321","101","7.6","16.3","75.1","29.5"
"1986","Angels","1732","6297","167","786","743","109","10.7 %","13.7 %",".149",".273",".255",".338",".404",".331","103","4.5","30.7","48.0","29.5"
"1970","Dodgers","2040","6293","87","749","695","138","8.6 %","13.4 %",".112",".302",".270",".334",".382",".321","98","7.0","-11.6","81.4","29.4"
"1975","Red Sox","1744","6175","134","796","756","66","9.1 %","12.0 %",".142",".295",".275",".344",".417",".346","106","-8.2","34.5","47.8","29.4"
"1937","Tigers","1694","6264","150","935","873","89","10.5 %","11.4 %",".160",".314",".292",".370",".452",".377","104","-5.9","31.2","44.8","29.4"
"2011","Rays","2284","6152","172","707","674","155","9.3 %","19.4 %",".159",".281",".244",".322",".402",".319","103","10.4","35.1","43.7","29.4"
"1993","Astros","1993","6136","138","716","656","103","8.1 %","14.8 %",".142",".296",".267",".330",".409",".327","101","-3.1","4.0","72.4","29.4"
"1977","Rangers","1775","6342","135","767","704","154","9.4 %","14.3 %",".135",".299",".270",".342",".405",".333","104","1.2","33.6","41.0","29.3"
"1967","Cardinals","2023","6143","115","694","656","102","7.2 %","14.9 %",".117",".294",".263",".320",".380",".313","101","4.3","9.8","45.3","29.3"
"2005","Phillies","2273","6345","167","807","760","116","10.1 %","17.1 %",".154",".306",".270",".348",".423",".335","98","9.2","-2.9","88.2","29.3"
"1956","Dodgers","1877","5876","179","720","680","65","11.0 %","12.5 %",".161",".269",".258",".342",".419",".337","101","1.4","4.9","117.4","29.3"
"1931","Giants","1707","5840","101","768","727","83","6.6 %","6.8 %",".127",".298",".289",".340",".416",".348","104","15.3","46.0","68.9","29.3"
"1977","Red Sox","1588","6182","213","859","828","66","8.5 %","14.6 %",".183",".301",".282",".346",".465",".355","111","-1.2","78.5","-0.5","29.3"
"1979","Phillies","2155","6222","119","683","641","128","9.7 %","12.3 %",".130",".288",".266",".340",".396",".328","99","-3.2","-13.0","90.8","29.2"
"2012","Yankees","2367","6231","245","804","774","93","9.1 %","18.9 %",".188",".293",".265",".337",".453",".342","113","1.9","96.9","-24.8","29.2"
"1933","Senators","1780","6208","60","851","793","65","8.7 %","6.4 %",".115",".301",".287",".353",".402",".352","102","-8.7","3.8","61.6","29.1"
"1977","Dodgers","2176","6328","191","769","729","114","9.3 %","14.2 %",".152",".284",".265",".335",".418",".332","104","2.3","29.6","50.6","29.1"
"1946","Yankees","1733","5873","136","684","649","48","10.7 %","12.0 %",".139",".265",".248",".334",".388",".343","100","-6.5","-4.4","80.0","29.1"
"1923","Indians","1736","6150","59","886","806","79","10.2 %","6.2 %",".119",".317",".301",".381",".421",".377","110","-2.3","81.1","15.6","29.1"
"1926","Cardinals","1701","6103","90","817","756","83","7.8 %","8.5 %",".129",".304",".286",".348",".415",".356","103","13.9","34.4","73.7","29.1"
"1975","Orioles","1783","6211","124","682","635","104","9.3 %","13.4 %",".121",".276",".252",".326",".373",".321","102","0.9","17.3","62.1","29.1"
"1992","Blue Jays","1645","6224","163","780","737","129","9.0 %","15.0 %",".151",".288",".263",".333",".414",".337","108","9.2","62.6","13.3","29.1"
"1919","Giants","1504","5157","40","605","505","157","6.4 %","7.9 %",".097",".288",".269",".322",".366",".329","110","6.3","55.6","62.3","29.1"
"2004","Braves","2349","6339","178","803","767","86","9.3 %","18.3 %",".164",".309",".270",".343",".434",".336","100","14.1","13.0","71.5","29.0"
"1988","Blue Jays","1745","6194","158","763","706","107","8.4 %","15.1 %",".151",".295",".268",".332",".419",".335","109","2.9","67.5","2.8","29.0"
"1989","Mets","2084","6131","147","683","633","158","8.2 %","15.2 %",".139",".270",".246",".311",".385",".312","101","8.8","16.4","65.9","29.0"
"2011","Diamondbacks","2230","6096","172","731","702","133","8.7 %","20.5 %",".163",".294",".250",".322",".413",".322","97","9.0","-14.8","99.4","29.0"
"1942","Dodgers","1782","5991","62","741","678","81","9.5 %","8.1 %",".098",".282",".264",".338",".362",".336","103","13.3","32.1","69.6","29.0"
"1983","Expos","2116","6286","102","675","632","137","8.1 %","11.6 %",".122",".285",".264",".326",".386",".317","98","9.1","-3.5","79.6","29.0"
"1960","White Sox","1945","5964","112","741","684","122","9.5 %","10.8 %",".126",".287",".270",".345",".396",".333","103","7.6","30.1","76.1","29.0"
"1923","Tigers","1838","6165","41","833","739","87","9.6 %","6.2 %",".101",".318",".300",".377",".401",".368","107","6.8","65.5","28.6","28.9"
"2013","Rays","2423","6242","165","700","670","73","9.4 %","18.8 %",".151",".295",".257",".329",".408",".324","107","-0.3","47.3","15.1","28.9"
"1940","Reds","1674","5984","89","707","649","72","7.6 %","8.4 %",".113",".280",".266",".327",".379",".326","95","11.4","-23.9","128.5","28.9"
"1954","White Sox","1870","5971","94","707","655","98","10.1 %","9.0 %",".112",".281",".267",".347",".379",".337","99","1.6","-2.5","100.4","28.9"
"1999","Orioles","1958","6409","203","851","804","107","9.6 %","13.9 %",".169",".298",".279",".353",".447",".350","107","0.7","56.7","21.7","28.9"
"1963","Braves","2092","6206","139","677","624","75","8.5 %","15.3 %",".127",".270",".244",".312",".371",".304","98","-2.4","-18.8","75.3","28.8"
"1940","Yankees","1631","6045","155","817","759","59","10.7 %","10.0 %",".159",".269",".259",".344",".418",".350","100","-6.6","-5.4","78.5","28.8"
"2000","Mariners","1985","6444","198","907","869","122","12.0 %","16.7 %",".172",".299",".269",".361",".442",".352","107","-0.5","64.5","12.0","28.8"
"1948","Red Sox","1673","6278","121","906","854","38","13.1 %","8.7 %",".134",".288",".274",".374",".408",".370","102","-2.5","12.3","63.5","28.8"
"1941","Red Sox","1727","6179","124","865","804","67","11.1 %","9.1 %",".147",".298",".283",".366",".430",".372","106","-10.5","38.4","20.3","28.7"
"2011","Reds","2358","6329","183","735","697","97","8.5 %","19.8 %",".152",".297",".256",".326",".408",".322","99","8.7","3.6","71.0","28.7"
"1944","Indians","1858","6119","70","643","615","48","8.4 %","9.7 %",".106",".288",".266",".331",".372",".334","105","-10.0","27.8","42.8","28.7"
"2014","Orioles","2294","6130","211","705","681","44","6.5 %","21.0 %",".166",".296",".256",".311",".422",".323","104","-5.9","22.2","41.9","28.7"
"2009","Angels","2246","6305","173","883","841","148","8.7 %","16.7 %",".156",".322",".285",".350",".441",".346","108","8.6","75.5","-4.5","28.7"
"1920","Yankees","1604","5899","115","837","745","64","9.0 %","10.5 %",".146",".300",".280",".350",".426",".364","104","-2.3","27.1","51.6","28.7"
"1980","Yankees","1868","6329","189","820","772","86","10.2 %","11.7 %",".157",".277",".267",".343",".425",".343","113","2.0","98.5","-36.9","28.6"
"1993","Blue Jays","1603","6319","159","847","796","170","9.3 %","13.6 %",".157",".303",".279",".350",".436",".347","109","15.1","88.1","-3.7","28.6"
"1991","White Sox","1874","6360","139","758","722","134","9.6 %","14.1 %",".129",".288",".262",".336",".391",".328","104","-2.6","28.4","44.2","28.6"
"2008","Mets","2405","6388","172","799","751","138","9.7 %","16.0 %",".154",".296",".266",".340",".420",".332","100","12.7","13.4","66.1","28.6"
"1921","Indians","1758","6264","42","925","847","51","9.9 %","6.0 %",".123",".326",".308",".383",".432",".378","107","11.4","68.7","10.8","28.6"
"1947","Indians","1913","5972","112","687","649","29","8.4 %","10.1 %",".125",".276",".260",".324",".385",".332","100","-5.3","-7.4","96.3","28.5"
"1983","Blue Jays","1811","6213","167","795","749","131","8.2 %","13.0 %",".159",".296",".277",".338",".436",".343","108","-3.2","51.8","19.5","28.5"
"1969","Reds","2102","6296","171","797","750","79","7.5 %","16.5 %",".146",".311",".277",".335",".423",".340","104","-3.1","25.8","23.1","28.5"
"1960","Braves","1866","5866","170","724","681","69","7.9 %","13.5 %",".153",".280",".265",".323",".417",".328","108","1.1","57.0","24.1","28.5"
"2002","Yankees","2135","6377","223","897","857","100","10.0 %","18.4 %",".180",".310",".275",".354",".455",".352","116","-1.0","122.9","-55.4","28.5"
"1985","Dodgers","2192","6208","129","682","630","136","8.7 %","13.6 %",".122",".286",".261",".328",".383",".316","102","2.1","19.3","52.2","28.5"
"2011","Cardinals","2403","6242","162","762","726","57","8.7 %","15.7 %",".151",".305",".273",".341",".425",".334","112","-16.5","72.3","2.7","28.4"
"1997","Red Sox","1873","6428","184","850","809","68","8.0 %","16.2 %",".171",".325",".291",".352",".462",".354","109","-6.6","64.6","-0.7","28.4"
"2012","Cardinals","2391","6326","159","765","732","91","8.4 %","18.8 %",".150",".316",".271",".338",".421",".329","106","-3.0","45.1","28.9","28.3"
"1973","Red Sox","1629","6223","147","738","692","114","9.3 %","12.8 %",".134",".287",".267",".338",".401",".334","102","8.1","23.0","40.3","28.3"
"1954","Dodgers","1854","6047","186","778","740","46","10.5 %","10.3 %",".175",".274",".270",".349",".445",".361","104","-1.9","26.0","58.9","28.3"
"1998","Cardinals","2305","6413","223","810","781","133","10.5 %","18.4 %",".183",".289",".258",".341",".441",".340","104","8.7","39.8","47.7","28.3"
"1956","Red Sox","1900","6207","139","779","749","28","11.7 %","11.1 %",".144",".292",".275",".362",".419",".350","99","2.1","-2.7","72.1","28.3"
"1976","Pirates","2029","6177","110","708","660","130","7.0 %","13.1 %",".123",".293",".267",".321",".391",".325","101","7.8","13.3","47.2","28.3"
"2012","Giants","2384","6200","103","718","675","118","7.8 %","17.7 %",".128",".315",".269",".327",".397",".314","101","12.4","21.8","55.9","28.3"
"1925","Senators","1785","5983","56","828","747","135","9.0 %","7.0 %",".108",".322",".304",".374",".412",".366","103","0.2","24.9","63.8","28.3"
"1995","Reds","2042","5575","161","747","694","190","9.3 %","17.0 %",".169",".303",".270",".342",".440",".342","104","7.0","37.0","63.3","28.3"
"1966","Tigers","2043","6195","179","719","682","41","8.9 %","15.9 %",".155",".275",".251",".321",".406",".321","107","-1.7","47.2","43.9","28.3"
"1967","Pirates","2078","6255","91","679","615","79","6.2 %","14.6 %",".103",".314",".277",".324",".380",".313","101","5.9","13.9","26.7","28.3"
"2003","Giants","2272","6204","180","755","713","53","9.6 %","15.8 %",".161",".291",".264",".338",".425",".330","100","-8.3","-11.7","94.8","28.2"
"1982","Expos","2039","6208","133","697","656","156","8.1 %","13.0 %",".134",".284",".262",".325",".396",".320","102","9.2","24.6","37.0","28.2"
"2002","Angels","2307","6327","152","851","811","117","7.3 %","12.7 %",".150",".303",".282",".341",".433",".336","105","12.5","49.4","16.5","28.2"
"1974","Pirates","2065","6366","114","751","692","55","8.1 %","13.0 %",".118",".300",".274",".335",".391",".330","105","0.5","39.3","20.6","28.1"
"1930","Athletics","1700","6159","125","950","895","50","9.7 %","8.6 %",".158",".309",".294",".369",".452",".369","104","-6.7","32.0","48.4","28.1"
