"Season","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR"
"1993","Yankees","1724","6359","178","821","793","39","9.9 %","14.3 %",".156",".304",".279",".353",".435",".350","114","-5.2","101.6","22.8","32.7"
"1950","Red Sox","1718","6321","161","1027","974","32","11.4 %","9.2 %",".162",".315",".302",".385",".464",".388","109","-3.1","78.6","32.4","32.6"
"1927","Giants","1789","6040","109","817","765","73","7.6 %","7.6 %",".131",".309",".297",".356",".428",".364","110","10.2","87.6","50.8","32.6"
"1952","Indians","1869","6060","148","763","721","46","10.3 %","12.4 %",".141",".282",".262",".342",".404",".348","111","0.0","79.0","36.6","32.6"
"1963","Twins","2006","6226","225","766","721","32","8.8 %","14.6 %",".175",".267",".254",".324",".430",".335","108","3.0","61.0","72.1","32.6"
"2003","Red Sox","2313","6530","238","961","932","88","9.5 %","14.4 %",".202",".307",".289",".360",".491",".364","120","3.5","167.2","-61.5","32.6"
"1985","Yankees","1708","6236","176","839","793","155","9.9 %","12.4 %",".158",".280",".267",".344",".425",".341","112","7.9","99.4","10.0","32.5"
"1950","Yankees","1853","6149","159","912","857","41","11.1 %","7.4 %",".159",".285",".282",".366",".441",".370","108","-6.0","60.6","54.2","32.5"
"1980","Brewers","1598","6242","203","811","774","131","7.3 %","11.9 %",".173",".284",".275",".329",".448",".344","113","3.3","97.3","5.2","32.4"
"2008","Cardinals","2396","6370","174","779","744","73","9.1 %","15.5 %",".152",".312",".281",".350",".433",".342","107","-10.0","46.4","72.3","32.4"
"1976","Phillies","2170","6237","110","770","708","127","8.7 %","12.7 %",".123",".297",".272",".338",".395",".336","106","-2.2","36.8","59.7","32.4"
"1926","Yankees","1733","6090","121","847","791","79","10.5 %","9.5 %",".149",".307",".289",".370",".438",".377","112","-13.4","86.6","15.9","32.3"
"1947","Yankees","1723","6031","115","793","748","27","10.1 %","9.6 %",".135",".287",".271",".349",".407",".353","109","-4.6","61.7","59.7","32.3"
"2010","Yankees","2313","6379","201","859","823","103","10.4 %","17.8 %",".169",".300",".267",".350",".436",".346","112","12.1","101.5","-8.1","32.3"
"1923","Giants","1798","6083","85","854","790","106","8.0 %","6.7 %",".120",".307",".295",".356",".415",".361","106","6.0","51.5","65.4","32.3"
"1972","Pirates","1923","6020","110","691","654","49","6.7 %","14.5 %",".123",".306",".274",".324",".397",".325","105","0.4","36.3","48.0","32.2"
"1943","Yankees","1624","6023","100","669","635","46","10.4 %","9.3 %",".120",".271",".256",".337",".376",".344","109","-15.1","41.7","59.7","32.2"
"1975","Phillies","2204","6365","125","735","687","126","9.6 %","15.1 %",".133",".304",".269",".342",".402",".338","103","4.6","27.4","72.1","32.1"
"1979","Orioles","1817","6106","181","757","717","99","10.0 %","13.9 %",".158",".277",".261",".336",".419",".336","108","1.9","59.3","54.0","32.1"
"1978","Phillies","2111","6154","133","708","661","152","9.0 %","14.1 %",".131",".283",".258",".328",".388",".322","98","8.9","-6.8","110.4","32.0"
