"Season","Team","W","L","SV","G","GS","IP","R","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR"
"1974","Braves","88","74","22","378","163","1474.1","563","4.71","2.98","0.59",".262","75.2 %","","","3.06","3.43","","25.3"
"1971","Athletics","101","60","36","388","161","1469.1","564","6.12","3.07","0.80",".252","75.9 %","","","3.06","3.34","","14.3"
"1972","Angels","75","80","16","347","155","1377.2","533","6.53","4.05","0.59",".254","75.1 %","","","3.06","3.21","","9.4"
"1991","Dodgers","93","69","40","529","162","1458.0","565","6.35","3.09","0.59",".274","74.8 %","","","3.07","3.39","","19.8"
"1952","Phillies","87","67","16","296","154","1386.2","552","3.95","2.42","0.62",".261","73.1 %","","","3.07","3.25","","19.8"
"1964","Reds","92","70","35","366","163","1467.0","566","6.88","2.67","0.69",".274","74.7 %","","","3.07","3.02","","24.8"
"1963","Yankees","104","57","31","341","161","1449.0","547","5.99","2.96","0.71",".258","75.5 %","","","3.07","3.21","","20.8"
"1946","Reds","67","87","11","302","156","1413.1","566","3.22","2.97","0.45",".262","72.8 %","","","3.08","3.34","","14.7"
"1963","Cubs","82","80","28","379","162","1457.0","578","5.26","2.47","0.74",".269","74.5 %","","","3.08","3.25","","18.2"
"1973","Orioles","97","65","26","302","162","1461.2","561","4.40","2.92","0.76",".252","76.1 %","","","3.08","3.71","","14.1"
"1944","Tigers","88","66","8","275","156","1400.0","581","3.65","2.91","0.25",".277","70.6 %","","","3.09","3.11","","22.9"
"1963","Phillies","87","75","31","404","162","1457.1","578","6.50","3.42","0.70",".267","75.2 %","","","3.09","3.26","","12.2"
"1969","Dodgers","85","77","31","352","162","1457.0","561","6.02","2.59","0.75",".269","75.8 %","","","3.09","3.20","","14.6"
"1954","Giants","97","57","33","389","154","1390.0","550","4.48","3.97","0.73",".255","77.6 %","","","3.09","3.86","","15.8"
"1963","Pirates","74","88","33","454","162","1448.0","595","5.59","2.84","0.62",".275","73.4 %","","","3.10","3.17","","15.3"
"1988","Expos","81","81","43","470","163","1482.2","592","5.60","2.89","0.74",".260","74.5 %","","","3.10","3.63","","11.7"
"1946","White Sox","74","80","16","297","155","1392.1","595","3.56","3.28","0.52",".267","72.7 %","","","3.10","3.49","","11.1"
"1976","Phillies","101","61","44","409","162","1459.0","557","5.66","2.45","0.60",".279","74.7 %","","","3.10","3.10","","22.8"
"1971","Angels","76","86","32","405","162","1481.0","576","5.49","3.69","0.61",".253","75.1 %","","","3.10","3.42","","13.0"
"1916","Reds","60","93","6","253","155","1408.0","617","3.64","2.95","0.22",".278","68.7 %","","","3.10","2.91","","8.6"
"1956","Braves","92","62","27","332","155","1393.1","569","4.13","3.02","0.86",".255","76.0 %","","","3.10","3.74","","10.6"
"1967","Phillies","82","80","23","376","162","1453.2","581","5.99","2.50","0.53",".283","72.8 %","","","3.10","2.89","","21.3"
"1980","Astros","93","70","41","409","163","1482.2","589","5.64","2.83","0.42",".278","72.0 %","","","3.11","3.10","","21.6"
"1985","Mets","98","64","37","405","162","1488.0","568","6.28","3.11","0.67",".268","75.5 %","","","3.11","3.33","","20.1"
"1984","Pirates","75","87","34","408","162","1470.0","567","6.09","3.07","0.62",".277","75.3 %","","","3.11","3.36","","19.6"
"1985","Cardinals","101","61","44","457","162","1464.0","572","4.91","2.78","0.60",".267","74.2 %","","","3.11","3.45","","17.2"
"1983","Dodgers","91","71","40","441","163","1464.0","609","6.15","3.04","0.60",".274","72.4 %","","","3.11","3.31","","21.2"
"1986","Mets","108","54","46","414","162","1484.0","578","6.57","3.09","0.62",".271","74.5 %","","","3.11","3.31","","20.8"
"1966","Cardinals","83","79","32","423","162","1459.2","577","5.50","2.76","0.80",".267","76.0 %","","","3.11","3.48","","14.6"
"1924","Reds","83","70","9","257","153","1378.0","579","2.95","1.91","0.20",".279","68.2 %","","","3.12","3.37","","19.8"
"1972","White Sox","87","67","42","402","154","1385.1","538","6.08","2.80","0.61",".276","74.5 %","","","3.12","2.92","","19.8"
"1978","Dodgers","95","67","38","360","162","1440.1","573","5.00","2.75","0.67",".271","74.7 %","","","3.12","3.40","","18.1"
"1971","White Sox","79","83","32","421","162","1450.1","597","6.06","2.90","0.62",".276","73.2 %","","","3.13","3.03","","26.9"
"1919","Browns","67","72","4","235","140","1256.0","562","2.97","3.02","0.25",".282","69.3 %","","","3.13","3.29","","11.6"
"1971","Astros","79","83","25","407","162","1471.1","567","5.59","2.91","0.46",".270","73.6 %","","","3.13","2.96","","20.6"
"1989","Athletics","99","63","57","479","162","1448.1","576","5.78","3.17","0.64",".266","74.3 %","","","3.13","3.52","","16.5"
"1942","Tigers","73","81","14","282","156","1399.1","587","4.32","3.85","0.39",".269","72.9 %","","","3.13","3.35","","21.1"
"1966","Twins","89","73","28","364","162","1438.2","581","6.35","2.45","0.87",".256","73.7 %","","","3.13","3.27","","22.4"
"2002","Braves","101","59","57","630","161","1467.1","565","6.49","3.40","0.75",".271","77.2 %","45.7 %","8.5 %","3.13","3.83","4.11","19.8"
"1946","Yankees","87","67","17","306","154","1361.0","547","4.32","3.65","0.44",".262","73.3 %","","","3.13","3.30","","16.4"
"1943","Reds","87","67","17","274","155","1404.0","542","3.19","3.72","0.24",".266","73.4 %","","","3.13","3.32","","11.0"
"1967","Twins","91","71","24","383","164","1461.0","590","6.71","2.44","0.71",".277","73.4 %","","","3.14","2.97","","24.8"
