"Season","Team","Inn","rSB","rGDP","rARM","rGFP","rPM","DRS","BIZ","Plays","RZR","OOZ","CPP","RPP","TZL","FSR","ARM","DPR","RngR","ErrR","UZR","UZR/150","Def"
"2005","Brewers","12942.0","-4","-5","-1","-2","-2","-11","2604","1908",".733","363","","","","","-2.2","-1.0","23.7","-14.4","6.2","0.3","6.2"
"2003","Rockies","12780.0","3","-1","17","0","-15","7","2522","1842",".730","386","","","","","14.8","1.4","-16.3","-0.7","-0.8","2.0","6.2"
"2004","Athletics","13242.0","1","2","-1","-3","-25","-16","2583","1929",".747","314","","","","","1.7","1.2","-14.8","6.1","-5.8","-0.3","6.2"
"2006","Cardinals","12867.0","3","3","-13","12","46","55","2373","1975",".832","439","","","","","-6.5","5.4","0.1","-0.1","-1.0","-0.9","6.0"
"2003","Rangers","12900.0","1","3","-12","0","79","68","2810","1991",".709","347","","","","","-4.2","0.0","-1.0","10.1","4.9","0.1","5.9"
"2004","Phillies","13164.0","-6","0","4","8","11","6","2427","1783",".735","424","","","","","1.2","3.3","3.0","10.4","17.9","3.0","5.9"
"2014","Padres","12948.0","1","-10","-9","-6","57","32","2152","1775",".825","487","94","0.9","","-30","-6.5","-8.7","25.2","-1.1","8.9","-0.8","5.8"
"2014","Mariners","13068.0","2","-1","-2","-7","7","-10","2113","1761",".833","499","95","-2.6","","16","-10.6","0.0","9.9","9.2","8.4","-1.7","5.8"
"2004","Twins","13284.0","2","3","-1","10","-22","-12","2447","1809",".739","385","","","","","-1.3","2.5","-15.9","13.4","-1.3","-0.1","5.7"
"2009","Astros","12870.0","2","4","11","12","-33","4","2276","1861",".818","438","63","2.8","","3","12.7","2.7","-28.8","9.1","-4.3","1.6","5.5"
"2015","Dodgers","13011.0","-2","-7","8","6","-9","-2","2044","1692",".828","467","","","","2","4.9","-5.6","-9.6","11.3","1.0","1.0","5.0"
"2006","Brewers","12831.0","-1","-6","-12","-2","21","-3","2219","1817",".819","418","","","","","-6.7","-2.8","22.8","-6.3","6.9","-0.6","4.9"
"2008","Angels","13062.0","-4","7","-10","16","-15","-10","2354","1947",".827","417","65","2.7","","","-0.9","3.0","3.2","3.9","9.2","1.3","4.8"
"2013","Brewers","12984.0","-1","-1","12","7","29","40","2180","1786",".819","589","74","5.5","","3","10.7","0.0","6.2","-16.8","0.0","1.8","4.5"
"2014","Rays","13173.0","-1","-4","-4","-4","-13","-27","2096","1702",".812","500","73","-3.0","","25","1.8","-4.1","12.1","-3.3","6.5","0.7","4.5"
"2005","Devil Rays","12795.0","4","-4","6","-2","-29","-19","2748","2026",".737","358","","","","","-9.5","-3.1","18.9","-11.0","-4.8","-2.4","4.2"
"2011","Royals","13062.0","4","-7","19","8","-1","22","2312","1939",".839","453","79","-0.5","","5","19.3","-5.6","-20.2","4.9","-1.6","2.3","3.9"
"2002","Reds","13083.0","0","0","0","0","0","0","0","0","","0","","","","","9.4","-2.6","-5.5","2.4","3.7","1.8","3.7"
"2013","Athletics","13068.0","-3","-7","-7","-3","-29","-55","2172","1821",".838","539","47","-5.5","","-3","-5.2","-8.4","38.4","-11.7","13.1","-0.1","3.5"
"2004","Expos","13023.0","7","1","24","6","-1","53","2294","1690",".737","305","","","","","18.2","-2.6","-28.2","2.7","-9.9","1.8","3.1"
"2006","Braves","12972.0","-3","-1","-1","5","-8","-13","2398","1980",".826","419","","","","","-1.3","-2.8","14.0","0.1","10.0","0.9","3.0"
"2003","Marlins","13008.0","-2","5","1","0","-31","-21","2582","1899",".736","329","","","","","-5.9","6.7","-7.4","11.3","4.8","0.2","2.8"
"2003","Braves","13107.0","-1","-2","2","0","50","43","2662","1993",".749","427","","","","","5.2","0.4","13.2","-11.1","7.6","1.9","2.6"
"2015","Mets","13164.0","-2","-2","1","4","-4","-5","2172","1774",".817","513","","","","-42","3.6","-4.9","8.1","-0.6","6.3","1.0","2.3"
"2004","Brewers","12978.0","-4","-5","-7","-13","10","-20","2441","1761",".721","377","","","","","-13.7","-1.3","33.0","-13.4","4.6","-1.9","1.6"
"2002","Rockies","12840.0","0","0","0","0","0","0","0","0","","0","","","","","4.3","-1.3","5.8","-7.6","1.2","0.7","1.2"
"2014","Mets","13173.0","-3","-4","2","-7","28","14","2197","1800",".819","494","73","-2.5","","-28","1.1","1.2","2.1","2.8","7.3","1.3","0.9"
"2007","Diamondbacks","12969.0","-1","4","-3","5","20","36","2409","1964",".815","386","","","","","-3.0","1.7","-3.1","1.3","-3.2","-0.9","0.8"
"2012","Rangers","12978.0","-7","3","1","-4","8","-5","2126","1742",".819","495","62","-2.2","","33","-3.1","3.1","16.0","-2.3","13.7","1.4","0.5"
"2010","Yankees","12981.0","-11","2","6","-4","57","38","2277","1881",".826","430","62","-5.0","","13","2.2","2.0","-0.1","21.0","25.1","4.0","0.0"
"2010","Phillies","13107.0","1","8","2","11","-18","6","2309","1910",".827","371","50","5.5","","20","2.6","6.8","-25.0","9.2","-6.5","0.6","0.0"
"2009","Brewers","12915.0","-2","0","-12","-3","7","-18","2375","2014",".848","377","75","2.5","","10","-8.8","1.1","13.8","-6.9","-0.8","-1.5","-0.4"
"2011","Mariners","12897.0","-2","3","-6","7","9","5","2257","1891",".838","459","58","-6.6","","5","2.1","4.3","3.2","-0.4","9.1","2.0","-0.5"
"2009","Dodgers","13260.0","1","1","-6","1","7","14","2171","1816",".837","406","61","-5.4","","31","-6.4","2.1","-1.0","5.0","-0.3","-1.1","-0.7"
"2002","Diamondbacks","13020.0","0","0","0","0","0","0","0","0","","0","","","","","-5.2","-4.8","7.2","2.0","-0.7","-1.9","-0.7"
"2016","Nationals","13137.0","0","2","3","2","-20","-15","1917","1571",".820","521","","","","","5.7","1.0","-14.9","6.3","-1.9","1.0","-0.9"
"2016","Yankees","12855.0","-4","-7","3","-1","14","1","2012","1620",".805","532","","","","","6.0","-5.3","3.2","1.1","5.0","1.3","-1.0"
"2007","Rockies","13248.0","0","8","-3","1","28","34","2535","2120",".836","376","","","","","0.9","5.5","-22.2","18.8","2.9","1.0","-1.1"
"2002","Brewers","12891.0","0","0","0","0","0","0","0","0","","0","","","","","-0.7","-5.0","-0.9","5.5","-1.1","-0.7","-1.1"
"2012","Cardinals","13164.0","7","1","0","5","-14","13","2259","1838",".814","490","67","2.1","","8","-5.1","-0.1","-6.3","-6.9","-18.3","-3.3","-1.2"
"2014","Giants","13041.0","-1","9","-2","1","-8","-2","2186","1831",".838","494","60","-2.3","","32","-1.8","5.9","2.8","-4.0","2.9","0.5","-1.4"
"2012","Brewers","13083.0","-3","-4","-3","5","6","2","2082","1709",".821","486","93","6.8","","0","-4.4","-6.7","5.8","0.9","-4.4","-2.2","-1.6"
"2009","Diamondbacks","13029.0","-3","-2","-11","-20","20","-12","2263","1879",".830","488","68","-5.1","","-4","-1.2","-0.6","16.9","-9.6","5.4","0.4","-1.7"
"2006","Devil Rays","12783.0","-6","4","2","-9","-28","-35","2524","2015",".798","389","","","","","-0.2","-3.5","17.4","-12.5","1.2","-0.3","-1.8"
"2010","Blue Jays","12966.0","0","3","1","-4","9","7","2251","1857",".825","451","61","-4.7","","-3","3.9","3.1","-9.6","1.7","-0.9","0.7","-2.6"
"2008","Orioles","12798.0","-2","-3","16","2","-32","-22","2537","2078",".819","403","66","-4.5","","","12.2","-5.1","0.4","3.5","10.9","2.8","-2.6"
"2011","Nationals","13044.0","4","0","19","4","-19","8","2333","1935",".829","488","68","2.1","","27","13.2","0.0","-23.7","-1.4","-11.8","0.6","-2.7"
"2012","Nationals","13215.0","-3","3","1","-2","-10","-15","2193","1832",".835","459","86","1.0","","23","3.3","1.0","-2.1","3.8","6.1","1.5","-3.0"
"2007","Orioles","12948.0","-3","-3","3","3","-13","-12","2538","2078",".819","356","","","","","-1.2","-6.3","0.1","9.1","1.7","-0.5","-3.3"
"2009","Athletics","13026.0","1","-2","3","9","-48","-34","2331","1923",".825","461","61","3.7","","-1","-0.3","-3.8","1.8","-6.9","-9.1","-1.5","-3.4"
"2011","Cubs","12909.0","0","-7","9","-6","-32","-36","2160","1763",".816","417","72","3.1","","-25","2.6","-4.7","5.9","-11.4","-7.7","-1.2","-3.6"
"2012","Royals","13062.0","6","3","14","11","-25","10","2234","1827",".818","442","68","0.9","","16","16.6","2.4","-31.8","-2.8","-15.5","0.4","-3.6"
"2002","Astros","13005.0","0","0","0","0","0","0","0","0","","0","","","","","7.8","1.1","-21.8","9.2","-3.7","0.8","-3.7"
"2013","Nationals","13011.0","-4","4","-6","11","-25","-19","2127","1779",".836","465","62","5.6","","12","0.6","5.6","2.7","-10.2","-1.4","0.6","-3.8"
"2006","Rangers","12882.0","5","5","11","9","-22","12","2539","2079",".819","368","","","","","5.1","-3.1","-21.9","8.0","-11.9","-1.0","-3.9"
"2013","Padres","13095.0","6","-3","-7","2","21","6","2199","1829",".832","521","69","4.8","","-24","-6.9","-3.8","-14.2","11.7","-13.2","-3.4","-4.4"
"2014","Cubs","13170.0","2","1","-10","-8","-1","-25","2219","1829",".824","426","97","1.9","","-16","-5.1","2.5","3.9","-6.8","-5.5","-1.3","-4.6"
"2004","Indians","13200.0","-4","0","-7","4","3","-12","2663","1932",".726","338","","","","","-2.0","2.1","5.5","-3.4","2.2","0.2","-4.8"
"2009","Cardinals","12966.0","5","1","2","12","5","34","2388","1970",".825","448","66","5.4","","17","3.5","4.8","-27.6","-1.9","-21.2","-1.8","-4.9"
"2013","Rockies","12924.0","-3","2","-12","0","3","-6","2279","1907",".837","494","64","-1.4","","28","-0.1","2.5","-15.0","10.1","-2.5","-0.1","-4.9"
"2014","Diamondbacks","12999.0","-3","1","8","-1","15","18","2152","1764",".820","484","70","1.3","","22","9.6","1.5","-20.0","4.4","-4.4","1.0","-5.1"
"2006","Rockies","13026.0","4","10","10","5","-5","23","2501","2059",".823","390","","","","","14.8","8.8","-44.1","10.2","-10.3","1.8","-5.3"
"2011","Rockies","13029.0","6","2","-7","-6","31","29","2223","1858",".836","458","64","-6.0","","25","-3.0","4.2","-18.9","9.9","-7.8","-1.3","-5.8"
"2006","Reds","13011.0","2","-5","9","-9","-48","-47","2435","1978",".812","344","","","","","8.2","1.1","-7.5","-14.6","-12.8","-0.2","-5.8"
"2009","Padres","13056.0","2","0","-19","0","13","-6","2270","1853",".816","456","65","0.4","","-4","-10.0","0.6","1.3","-0.5","-8.6","-2.8","-6.1"
"2002","Phillies","13047.0","0","0","0","0","0","0","0","0","","0","","","","","-3.1","-6.6","-8.8","12.1","-6.3","-1.9","-6.3"
"2002","Rangers","12957.0","0","0","0","0","0","0","0","0","","0","","","","","-2.9","-3.5","-4.4","4.0","-6.8","-1.6","-6.8"
